S,St,M,genSpec,Sp,Fc,Herbivory,Oblooms,OflwrsGood,OflwrsBad,Opods,OseedsGood,OseedsBad,OseedsTotal,Omass,Herbivory,Cblooms,CflwrsGood,CflwrsBad,Cpods,CseedsGood,CseedsBad,CseedsTotal,Cmass,notesOpen,notesClosed,
GLTC,700,0,genOnly,GILCAP,1,,,,,,,,0,,0,1,0,36,0,0,,0,,"AA, JA see weird things and 7006gilcap1 open",TP,
GLTC,700,0,genOnly,GILCAP,2,0,1,0,12,0,0,,0,,1,4,0,35,0,0,,0,,TP,TP,
GLTC,700,0,genOnly,GILCAP,3,0,5,75,7,115,83,,83,,1,12,0,232,3,0,,0,,TP,TP bug in sample,
GLTC,700,0,genOnly,GILCAP,4,,,,,,,,0,,,,,,,,,0,,,closed missing,
GLTC,700,1,genOnly,GILCAP,1,0,2,0,20,0,0,,0,,1,1,2,66,2,9,,9,,GM,GM,
GLTC,700,1,genOnly,GILCAP,2,1,2,0,0,5,8,,8,,0,2,5,45,8,16,,16,,GM,GM,
GLTC,700,1,genOnly,GILCAP,3,,,,,,,,0,,0,3,1,42,1,1,,1,,TP - amb sample,TP,
GLTC,700,1,genOnly,GILCAP,4,1,1,3,0,3,12,,12,,1,1,0,13,0,0,,0,,TP,TP bug in sample,
GLTC,700,1,genOnly,GILCAP,5,0,1,1,19,1,2,,2,,0,1,0,19,0,0,,0,,GM,TP,
GLTC,700,1,genOnly,GILCAP,6,0,1,2,8,2,2,,2,,1,1,7,4,14,91,,91,,TP,GM,
GLTC,700,3,genSpec1,GILCAP,1,,,,,,,,0,,0,2,0,20,1,2,,2,,TP - amb sample,GM,
GLTC,700,3,genSpec1,GILCAP,2,,,,,,,,0,,0,2,2,25,2,0,,0,,GM - amb sample,AA,
GLTC,700,3,genSpec1,GILCAP,3,,,,,,,,0,,,,,,,,,0,,,,
GLTC,700,3,genSpec1,GILCAP,4,0,4,114,31,114,244,,244,,1,4,9,88,9,2,,2,,AA- amb sample,AA,
GLTC,700,6,genSpec4,GILCAP,1,1,2,30,15,31,11,,11,,1,2,2,23,2,3,,3,,"AA, duplicates see weird things",AA,
GLTC,700,6,genSpec4,GILCAP,1,0,2,58,13,58,37,,37,,,,,,,,,0,,"AA, duplicates see weird things",,
GLTC,700,6,genSpec4,GILCAP,2,1,3,12,57,22,18,,18,,0,3,3,54,3,4,,4,,AA,AA,
GLTC,700,6,genSpec4,GILCAP,3,0,2,9,31,12,3,,3,,0,2,0,78,0,0,,0,,AA,AA,
