S,St,M,genSpec,Sp,Fc,Oblooms,OseedsGood,OseedsBad,OseedsTotal,Omass,Cblooms,CseedsGood,CseedsBad,CseedsTotal,Cmass,notesOpen,notesClosed
WW,604,1,genOnly,CLAAMO,1,3,67,92,159,,3,0,77,77,,,
WW,604,1,genOnly,CLAAMO,2,2,77,72,149,,4,9,196,205,0.01844,,
WW,604,1,genOnly,CLAAMO,3,1,,,,0.00786,1,0,6,,,,
WW,604,1,genOnly,CLAAMO,4,1,50,26,76,0.01281,2,17,42,59,0.00619,,
WW,604,1,genOnly,CLAAMO,5,1,,,,0.01003,,,,,,,
WW,604,1,genOnly,CLAAMO,6,1,,,,0.01592,,,,,,,
WW,604,1,genOnly,CLAAMO,7,2,,,,0.00687,3,,,,0.00285,collected too early for seeds on 2 blooms ,
WW,604,1,genOnly,CLAAMO,8,2,,,,0.02711,2,,,,0.00858,,
WW,604,1,genOnly,CLAAMO,9,,,,,,,,,,,not collected,
WW,604,1,genOnly,CLAAMO,10,3,88,127,215,0.04876,3,57,200,257,0.03206,,
WW,604,3,genSpec1,CLAAMO,3,2,,,,0.03447,,,,,,,
WW,604,3,genSpec1,CLAAMO,4,2,,,,0.02471,1,0,37,37,,,
WW,604,3,genSpec1,CLAAMO,5,7,,,,0.0597,6,0,,,0.01413,,zero good seeds no count for bad
WW,604,3,genSpec1,CLAAMO,6,3,68,79,147,0.02125,3,0,129,129,0.00777,,
WW,604,3,genSpec1,CLAAMO,7,4,,,,0.05871,5,,,,0.02645,,
WW,604,3,genSpec1,CLAAMO,8,2,,,,0.01383,2,,,,0.00265,,
WW,604,3,genSpec1,CLAAMO,9,1,54,42,96,0.01482,1,36,34,70,0.00832,,
WW,604,3,genSpec1,CLAAMO,10,3,,,,0.00811,2,,,,0.00446,,
WW,604,4,genSpec2,CLAAMO,2,3,,,,0.01669,3,,,,0.01662,,
WW,604,4,genSpec2,CLAAMO,3,3,71,104,175,0.01568,4,50,80,130,0.02692,,
WW,604,4,genSpec2,CLAAMO,4,1,,,,0.00793,,,,,,,not collected
WW,604,4,genSpec2,CLAAMO,5,1,,,,0.01127,1,,,,0.00239,,
WW,604,4,genSpec2,CLAAMO,6,,,,,,,,,,,not collected,not collected
WW,604,4,genSpec2,CLAAMO,7,4,,,,0.03732,4,,,,0.03997,,
WW,604,4,genSpec2,CLAAMO,8,1,85,18,103,0.02226,,,,,0.0112,,
WW,604,4,genSpec2,CLAAMO,9,4,23,122,145,0.00735,2,0,15,15,0.00098,,
WW,604,4,genSpec2,CLAAMO,10,1,,,,0.0293,1,,,,0.00183,,
WW,604,0,ss,CLAAMO,1,1,,,,0.00645,1,,,,0.00499,,
WW,604,0,ss,CLAAMO,2,1,,,,0.00219,,,,,,,not collected
WW,604,0,ss,CLAAMO,3,,10,29,39,0.0059,,0,51,51,0.00174,,
WW,604,0,ss,CLAAMO,4,2,0,122,122,0.00653,3,0,91,91,0.00424,,
WW,604,0,ss,CLAAMO,5,1,,,,0.00188,1,0,10,10,0.00068,,
WW,604,0,ss,CLAAMO,6,2,,,,0.00459,,,,,,,not collected
WW,604,0,ss,CLAAMO,7,,,,,,2,,,,0.00764,not collected,
WW,605,0,genOnly,CLAAMO,1,6,,,,,,,,,,,
WW,605,0,genOnly,CLAAMO,2,,,,,,,,,,,,
WW,605,1,genOnly,CLAAMO,1,,,,,,,,,,,,
WW,605,3,genSpec1,CLAAMO,1,1,87,8,,,2,156,44,,,IN,IN
WW,605,3,genSpec1,CLAAMO,3,3,97,231,328,0.05928,3,64,277,341,0.0469,,
WW,605,3,genSpec1,CLAAMO,4,7,46,539,,,,,,,,IN,
WW,605,3,genSpec1,CLAAMO,5,,,,,,,,,,,,
WW,605,3,genSpec1,CLAAMO,6,,,,,,,,,,,,
WW,605,3,genSpec1,CLAAMO,7,3,51,173,224,0.02794,4,2,274,276,0.02153,,
WW,605,3,genSpec1,CLAAMO,8,,,,,,,,,,,,
WW,605,3,genSpec1,CLAAMO,9,,,,,,,,,,,,no closed?
WW,605,4,genSpec2,CLAAMO,1,,,,,,,,,,,,no closed?
WW,605,4,genSpec2,CLAAMO,2,2,98,104,202,,3,65,235,,,IN,IN
WW,605,4,genSpec2,CLAAMO,3,,,,,,,,,,,,no closed?
WW,605,4,genSpec2,CLAAMO,4,1,33,57,,,2,45,91,,,IN,IN
WW,605,4,genSpec2,CLAAMO,5,,,,,,,,,,,,
WW,607,1,genOnly,CLAAMO,1,1,,,,0.03329,1,,,,0.01373,,
WW,607,1,genOnly,CLAAMO,2,2,,,,0.0383,2,,,,0.00071,,
WW,607,1,genOnly,CLAAMO,3,2,,,,0.01333,1,,,,0.00068,,
WW,607,1,genOnly,CLAAMO,4,2,,,,0.03869,2,,,,0.0014,,
WW,607,1,genOnly,CLAAMO,5,5,307,100,407,0.07263,3,25,162,187,0.0148,,
WW,607,1,genOnly,CLAAMO,6,4,,,,0.07344,4,,,,0.00176,,
WW,607,1,genOnly,CLAAMO,7,2,,,,0.0554,,,,,,,no closed
WW,607,1,genOnly,CLAAMO,8,1,53,17,70,0.01506,2,10,90,100,0.0116,,
WW,607,1,genOnly,CLAAMO,9,2,,,,0.05539,2,,,,0.00615,,
WW,607,1,genOnly,CLAAMO,10,,,,,,,,,,,not collected,not collected
WW,607,3,genSpec1,CLAAMO,1,9,536,426,962,0.15912,10,204,167,371,0.0881,,
WW,607,3,genSpec1,CLAAMO,3,4,104,184,,,4,0,190,,,IN,IN
WW,607,3,genSpec1,CLAAMO,5,5,291,194,,,,,,,,IN,
WW,607,3,genSpec1,CLAAMO,6,4,30,123,,,,,,,,IN,
WW,607,3,genSpec1,CLAAMO,7,2,130,60,,,,,,,,IN,
WW,607,3,genSpec1,CLAAMO,8,2,67,83,150,0.03383,7,18,313,331,0.01764,,
WW,607,3,genSpec1,CLAAMO,9,,,,,,7,0,327,,,no open,IN
WW,607,4,genSpec2,CLAAMO,1,4,,,,0.07516,,,,,,,
WW,607,4,genSpec2,CLAAMO,2,2,,,,0.02148,2,,,,0.00133,,
WW,607,4,genSpec2,CLAAMO,3,5,,,,0.06623,3,,,,0.01653,,
WW,607,4,genSpec2,CLAAMO,4,2,,,,0.02463,,,,,,,
WW,607,4,genSpec2,CLAAMO,5,3,5,185,190,0.02871,2,50,98,,0.02152,,
