"","Date","Obs","Stand","Site","Transect","Subplot","SubplotComments","PlantGenusSpecies","NumFlowers","NumPlant","Comments","DateRecorded"
"16651","6/21/23","RM","604:Holiday",6,"Unenhanced",0,"","Descurainia sp.",30,8,"","6/21/23"
"16652","6/21/23","RM","604:Holiday",6,"Unenhanced",8,"","Hypochaeris radicata",5,1,"","6/21/23"
"16653","6/21/23","RM","604:Holiday",6,"Unenhanced",8,"","Descurainia pinnata",1,6,"","6/21/23"
"16698","6/22/23","AS","607:Holiday",6,"Unenhanced",0,"","Collomia heterophylla",23,1,"","6/22/23"
"16699","6/22/23","AS","607:Holiday",6,"Unenhanced",12,"","Senecio sylvaticus",5,3,"","6/22/23"
"17256","7/14/23","RM","604:Holiday",6,"Unenhanced",0,"","Senecio sylvaticus",7,4,"","7/14/23"
"17257","7/14/23","RM","604:Holiday",6,"Unenhanced",12,"","Senecio sylvaticus",25,2,"","7/14/23"
"17258","7/14/23","RM","604:Holiday",6,"Unenhanced",8,"","Senecio sylvaticus",30,3,"","7/14/23"
"17259","7/14/23","RM","604:Holiday",6,"Unenhanced",4,"","Senecio sylvaticus",27.1,7,"","7/14/23"
"17998","7/24/23","RM","607:Holiday",6,"Unenhanced",0,"","Senecio sylvaticus",23,4,"","7/24/23"
"17999","7/24/23","RM","607:Holiday",6,"Unenhanced",8,"","Senecio sylvaticus",25,3,"","7/24/23"
"18000","7/24/23","RM","607:Holiday",6,"Unenhanced",12,"","Senecio sylvaticus",17,3,"","7/24/23"
"18001","7/24/23","RM","611:Holiday",6,"Unenhanced",8,"","Senecio sylvaticus",1,1,"","7/24/23"
"18002","7/24/23","RM","611:Holiday",6,"Unenhanced",12,"","Epilobium brachycarpum",4,1,"","7/24/23"
"18223","8/1/23","RM","605:Holiday",6,"Unenhanced",0,"","Epilobium brachycarpum",12,5,"","8/1/23"
"18224","8/1/23","RM","605:Holiday",6,"Unenhanced",4,"","Epilobium brachycarpum",14,3,"","8/1/23"
"18225","8/1/23","RM","605:Holiday",6,"Unenhanced",4,"","Senecio sylvaticus",39,2,"","8/1/23"
"18226","8/1/23","RM","605:Holiday",6,"Unenhanced",12,"","Senecio sylvaticus",45,1,"","8/1/23"
"18227","8/1/23","RM","605:Holiday",6,"Unenhanced",8,"","Epilobium brachycarpum",21,5,"","8/1/23"
"18228","8/1/23","RM","605:Holiday",6,"Unenhanced",12,"","Epilobium brachycarpum",5,3,"","8/1/23"
"18278","8/2/23","MG","607:Holiday",6,"Unenhanced",0,"","Senecio sylvaticus",40,2,"","8/2/23"
"18279","8/2/23","MG","607:Holiday",6,"Unenhanced",8,"","Senecio sylvaticus",15,1,"","8/2/23"
"18280","8/2/23","MG","607:Holiday",6,"Unenhanced",12,"","Senecio sylvaticus",12,1,"","8/2/23"
"18312","8/3/23","MG","611:Holiday",6,"Unenhanced",8,"","Senecio sylvaticus",64,3,"","8/3/23"
"22634","5/23/24","RM","604:Holiday",6,"Mix2",0,"","Collinsia grandiflora",5,41,"","5/23/24"
"22636","5/23/24","RM","604:Holiday",6,"Mix2",4,"","Collinsia grandiflora",4,23,"","5/23/24"
"22638","5/23/24","RM","604:Holiday",6,"Mix2",8,"","Collinsia grandiflora",5,39,"","5/23/24"
"22640","5/23/24","RM","604:Holiday",6,"Mix2",12,"","Collinsia grandiflora",5,6,"","5/23/24"
"22643","5/23/24","RM","604:Holiday",6,"Mix2",0,"","Phlox gracilis",2,3,"","5/23/24"
"22644","5/23/24","RM","604:Holiday",6,"Mix2",4,"","Phlox gracilis",1,4,"","5/23/24"
"22647","5/23/24","RM","604:Holiday",6,"Mix2",8,"","Madia gracilis",1,1,"","5/23/24"
"22649","5/23/24","RM","604:Holiday",6,"Mix2",12,"","Phlox gracilis",2,1,"","5/23/24"
"22654","5/23/24","RM","604:Holiday",6,"Mix6",0,"","Phlox gracilis",3,7,"","5/23/24"
"22655","5/23/24","RM","604:Holiday",6,"Mix6",4,"","Phlox gracilis",2,17,"","5/23/24"
"22656","5/23/24","RM","604:Holiday",6,"Mix6",8,"","Phlox gracilis",2,7,"","5/23/24"
"22658","5/23/24","RM","604:Holiday",6,"Mix6",12,"","Phlox gracilis",2,17,"","5/23/24"
"22662","5/23/24","RM","604:Holiday",6,"Mix3",0,"","Collinsia grandiflora",3,24,"","5/23/24"
"22666","5/23/24","RM","604:Holiday",6,"Mix3",4,"","Collinsia grandiflora",3,63,"","5/23/24"
"22667","5/23/24","RM","604:Holiday",6,"Mix3",0,"","Collinsia grandiflora",4,25,"","5/23/24"
"22669","5/23/24","RM","604:Holiday",6,"Mix3",12,"","Collinsia grandiflora",4,39,"","5/23/24"
"22678","5/23/24","RM","604:Holiday",6,"Mix5",0,"","Collinsia grandiflora",20,16,"","5/23/24"
"22679","5/23/24","RM","604:Holiday",6,"Mix5",4,"","Collinsia grandiflora",9,8,"","5/23/24"
"22681","5/23/24","RM","604:Holiday",6,"Mix5",8,"","Collinsia grandiflora",5,15,"","5/23/24"
"22682","5/23/24","RM","604:Holiday",6,"Mix5",12,"","Collinsia grandiflora",7,9,"","5/23/24"
"22684","5/23/24","RM","604:Holiday",6,"Mix4",0,"","Phlox gracilis",1,5,"","5/23/24"
"22686","5/23/24","RM","604:Holiday",6,"Mix4",4,"","Phlox gracilis",0.5,18,"","5/23/24"
"22687","5/23/24","RM","604:Holiday",6,"Mix4",4,"","Madia gracilis",2,1,"","5/23/24"
"22688","5/23/24","RM","604:Holiday",6,"Mix4",8,"","Phlox gracilis",0.5,22,"","5/23/24"
"22690","5/23/24","RM","604:Holiday",6,"Mix4",12,"","Phlox gracilis",0.2,50,"","5/23/24"
"22835","5/24/24","RM","705:Holiday",6,"Mix6",0,"","Phlox gracilis",1,6,"705","5/24/24"
"22836","5/24/24","RM","705:Holiday",6,"Mix6",8,"","Phlox gracilis",1,13,"705","5/24/24"
"22837","5/24/24","RM","705:Holiday",6,"Mix6",4,"","Phlox gracilis",1.5,14,"705","5/24/24"
"22838","5/24/24","RM","705:Holiday",6,"Mix6",12,"","Phlox gracilis",1,15,"705","5/24/24"
"22839","5/24/24","RM","705:Holiday",6,"Mix1",12,"","Collinsia grandiflora",3,1,"705","5/24/24"
"22840","5/24/24","RM","705:Holiday",6,"Mix4",0,"","Phlox gracilis",1.5,24,"705","5/24/24"
"22841","5/24/24","RM","705:Holiday",6,"Mix4",4,"","Phlox gracilis",0.5,14,"705","5/24/24"
"22842","5/24/24","RM","705:Holiday",6,"Mix4",8,"","Phlox gracilis",1,20,"705","5/24/24"
"22843","5/24/24","RM","705:Holiday",6,"Mix4",12,"","Phlox gracilis",1.5,12,"705","5/24/24"
"22844","5/24/24","RM","705:Holiday",6,"Mix2",0,"","Phlox gracilis",5,4,"705","5/24/24"
"22845","5/24/24","RM","705:Holiday",6,"Mix2",0,"","Collinsia grandiflora",5,19,"705","5/24/24"
"22846","5/24/24","RM","705:Holiday",6,"Mix2",4,"","Collinsia grandiflora",4,18,"705","5/24/24"
"22847","5/24/24","RM","705:Holiday",6,"Mix2",4,"","Phlox gracilis",8,2,"705","5/24/24"
"22848","5/24/24","RM","705:Holiday",6,"Mix2",8,"","Collinsia grandiflora",4,18,"705","5/24/24"
"22849","5/24/24","RM","705:Holiday",6,"Mix2",8,"","Phlox gracilis",4,3,"705","5/24/24"
"22850","5/24/24","RM","705:Holiday",6,"Mix2",12,"","Collinsia grandiflora",4,20,"705","5/24/24"
"22851","5/24/24","RM","705:Holiday",6,"Mix2",12,"","Phlox gracilis",5,2,"705","5/24/24"
"22852","5/24/24","RM","705:Holiday",6,"Mix3",0,"","Collinsia grandiflora",4,5,"705","5/24/24"
"22853","5/24/24","RM","705:Holiday",6,"Mix3",4,"","Collinsia grandiflora",4,19,"705","5/24/24"
"22854","5/24/24","RM","705:Holiday",6,"Mix3",0,"","Collinsia grandiflora",3,22,"705","5/24/24"
"22855","5/24/24","RM","705:Holiday",6,"Mix3",8,"","Collinsia grandiflora",2,10,"705","5/24/24"
"22856","5/24/24","RM","705:Holiday",6,"Mix5",0,"","Collinsia grandiflora",3,21,"705","5/24/24"
"22857","5/24/24","RM","705:Holiday",6,"Mix5",4,"","Collinsia grandiflora",5,9,"705","5/24/24"
"22858","5/24/24","RM","705:Holiday",6,"Mix5",8,"","Collinsia grandiflora",4,15,"705","5/24/24"
"22859","5/24/24","RM","705:Holiday",6,"Mix5",8,"","Collinsia grandiflora",4,20,"705","5/24/24"
"23193","5/30/24","RM","607:Holiday",6,"Mix1",0,"","Collinsia grandiflora",5,1,"","5/30/24"
"23194","5/30/24","RM","607:Holiday",6,"Mix1",0,"","Phlox gracilis",10,1,"","5/30/24"
"23196","5/30/24","RM","607:Holiday",6,"Mix1",4,"","Phlox gracilis",1,1,"","5/30/24"
"23198","5/30/24","RM","607:Holiday",6,"Mix1",8,"","Phlox gracilis",2,1,"","5/30/24"
"23199","5/30/24","RM","607:Holiday",6,"Mix1",8,"","Vicia sativa",5,2,"","5/30/24"
"23200","5/30/24","RM","607:Holiday",6,"Mix1",8,"","Vicia hirusta",12,3,"hirusta","5/30/24"
"23203","5/30/24","RM","607:Holiday",6,"Mix1",12,"","Phlox gracilis",4,1,"","5/30/24"
"23204","5/30/24","RM","607:Holiday",6,"Mix1",12,"","Collinsia grandiflora",4,2,"","5/30/24"
"23206","5/30/24","RM","607:Holiday",6,"Mix2",0,"","Phlox gracilis",5,2,"","5/30/24"
"23207","5/30/24","RM","607:Holiday",6,"Mix2",0,"","Collinsia grandiflora",10,16,"","5/30/24"
"23210","5/30/24","RM","607:Holiday",6,"Mix2",4,"","Collinsia grandiflora",4,31,"","5/30/24"
"23211","5/30/24","RM","607:Holiday",6,"Mix2",4,"","Phlox gracilis",4,4,"","5/30/24"
"23212","5/30/24","RM","607:Holiday",6,"Mix2",4,"","Madia gracilis",0.1,10,"","5/30/24"
"23213","5/30/24","RM","607:Holiday",6,"Mix2",8,"","Collinsia grandiflora",15,9,"","5/30/24"
"23214","5/30/24","RM","607:Holiday",6,"Mix2",0,"","Phlox gracilis",8,2,"","5/30/24"
"23216","5/30/24","RM","607:Holiday",6,"Mix2",12,"","Phlox gracilis",7,40,"","5/30/24"
"23218","5/30/24","RM","607:Holiday",6,"Mix2",12,"","Madia gracilis",0.1,10,"","5/30/24"
"23221","5/30/24","RM","607:Holiday",6,"Mix3",0,"","Collinsia grandiflora",15,14,"","5/30/24"
"23222","5/30/24","RM","607:Holiday",6,"Mix3",4,"","Collinsia grandiflora",8,12,"","5/30/24"
"23223","5/30/24","RM","607:Holiday",6,"Mix3",4,"","Phlox gracilis",13,2,"","5/30/24"
"23225","5/30/24","RM","607:Holiday",6,"Mix3",4,"","Vicia sativa",30,1,"","5/30/24"
"23227","5/30/24","RM","607:Holiday",6,"Mix3",8,"","Collinsia grandiflora",7,6,"","5/30/24"
"23228","5/30/24","RM","607:Holiday",6,"Mix3",8,"","Phlox gracilis",10,1,"","5/30/24"
"23231","5/30/24","RM","607:Holiday",6,"Mix3",12,"","Collinsia grandiflora",10,6,"","5/30/24"
"23232","5/30/24","RM","607:Holiday",6,"Mix3",12,"","Phlox gracilis",5,4,"","5/30/24"
"23233","5/30/24","RM","607:Holiday",6,"Mix4",0,"","Sonchus asper",2,1,"","5/30/24"
"23234","5/30/24","RM","607:Holiday",6,"Mix4",0,"","Phlox gracilis",6,14,"","5/30/24"
"23235","5/30/24","RM","607:Holiday",6,"Mix4",4,"","Phlox gracilis",2,11,"","5/30/24"
